fecha,empresa,titular,fuente,url,tema,impacto
2025-11-20,UBIMIA,"Ubimia: la evolución global de PFSTECH que impulsa la transformación digital del crédito en América Latina y EuropaGrupo en ConcretoPFSTECH, grupo tecnológico especializado en soluciones para la gestión del ciclo de crédito, anunció su evolución a ubimia.hace 1 semana",www.google.com,/url?q=https://grupoenconcreto.com/empresas/ubimia-la-evolucion-global-de-pfstech-que-impulsa-la-transformacion-digital-del-credito-en-america-latina-y-europa/&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIBhAC&usg=AOvVaw2-82K6Scz-xTIFOY1i0Ism,General,Medio
2025-11-20,UBIMIA,"Empresa de tecnología para gestión del crédito presenta su nueva marca globalHablemos de dineroBajo el nuevo nombre de “ubimia”, PFSTECH ofrecerá una plataforma unificada de servicios digitales, basada en inteligencia artificial, automatización y...hace 6 días",www.google.com,/url?q=https://hablemosdedinero.com.mx/ubimia-gestion-del-credito/&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIBRAC&usg=AOvVaw3MKfDcccA5-7DByYpsZrtJ,IA/Automatización,Medio
2025-11-20,UBIMIA,"Momento Corporativo / Ubimia: aliado de la democratización del crédito en MéxicoEl Sol de MéxicoEntérate de las noticias nacionales e internacionales que están cambiando al mundo; deportes, espectáculos, política, cultura y todo lo que...hace 1 semana",www.google.com,/url?q=https://oem.com.mx/elsoldemexico/analisis/momento-corporativo-ubimia-aliado-de-la-democratizacion-del-credito-en-mexico-26748250&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIAxAC&usg=AOvVaw2Yz4oATHudJG3LLIAv9mUb,General,Medio
2025-11-20,UBIMIA,"Pfstech se transforma en Ubimia y refuerza su expansión en Europa y LatinoaméricaLa RazónEl nombre Ubimia se inspira en la raíz latina ubi, que significa ""en todas partes"", y hace referencia a la presencia de la compañía a lo largo...hace 1 mes",www.google.com,/url?q=https://www.larazon.es/economia/pfstech-transforma-ubimia-refuerza-expansion-europa-latinoamerica_2025101668f0e557dc27b32ca388698a.html&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIAhAC&usg=AOvVaw1F2eccfXIsBa_KwtILOrlt,Alianzas/Expansión,Alto
2025-11-20,UBIMIA,"Economía.- PFSTECH inicia una nueva etapa bajo la marca ubimia y acelera su expansión en Europa y LatamBolsamaniaEl nuevo nombre procede de la raíz latina ubi, que significa ""en todas partes"", y hace referencia a la ubicuidad de la compañía en el ciclo de...hace 1 mes",www.google.com,/url?q=https://www.bolsamania.com/noticias/empresas/economia--pfstech-inicia-una-nueva-etapa-bajo-la-marca-ubimia-y-acelera-su-expansion-en-europa-y-latam--21051929.html&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIBBAC&usg=AOvVaw2CzQDO2oT5sqm8v_9sZ6Qx,Alianzas/Expansión,Alto
2025-11-20,UBIMIA,"Ubimia emerge como nueva identidad de PFSTECH y proyecta su expansión en Europa y LatamDemócrataEl nombre ubimia deriva del término latino ubi, que significa “en todas partes”, enfatizando la presencia global de la compañía en todas las...hace 1 mes",www.google.com,/url?q=https://www.democrata.es/economia/ubimia-emerge-nueva-identidad-pfstech-proyecta-expansion-europa-latam/&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIBxAC&usg=AOvVaw0t2adDTu60c7cFsYp4MvCt,Alianzas/Expansión,Alto
2025-11-20,UBIMIA,"HONOR supera los 10 millones de smartphones vendidos en América Latina y prepara el lanzamiento del Magic8 Lite 2026Grupo en ConcretoA cinco años de su llegada a América Latina, HONOR se consolida como una de las marcas de tecnología móvil con mayor crecimiento en la...hace 2 semanas",www.google.com,/url?q=https://grupoenconcreto.com/empresa/tecnologia/honor-supera-los-10-millones-de-smartphones-vendidos-en-america-latina-y-prepara-el-lanzamiento-del-magic8-lite-2026/&sa=U&ved=2ahUKEwjKxIDMw4GRAxWJp1YBHV5tF5kQxfQBegQIARAC&usg=AOvVaw0K4r4iN43rNC2KSlGq8f1H,General,Medio
2025-11-20,UBIMIA,Ubimia: la evolución global de PFSTECH que impulsa la transformación digital del crédito en América Latina y Europa,www.google.com,https://www.google.com/search?q=UBIMIA+PFSTECH&tbm=nws&hl=es,General,Medio
2025-11-20,UBIMIA,Empresa de tecnología para gestión del crédito presenta su nueva marca global,www.google.com,https://www.google.com/search?q=UBIMIA+PFSTECH&tbm=nws&hl=es,General,Medio
2025-11-20,UBIMIA,Momento Corporativo / Ubimia: aliado de la democratización del crédito en México,www.google.com,https://www.google.com/search?q=UBIMIA+PFSTECH&tbm=nws&hl=es,General,Medio
